# tools/census-registry.tsv
# Ожидаемый состав PAL/OS census: имя пробы <TAB> статус на момент фиксации.
# probe_report.ps1 сверяет прогон с этим списком и сообщает про MISSING
# (проба исчезла), NEW (появилась), REGRESSED и FIXED (сменила статус).
#
# Расхождение — сигнал, а не шум: обновлять файл осознанно, вместе с
# объяснением в done/stepNN.md. Повторяющиеся имена помечены ' #N'.
# Зафиксировано на step148: OK=147 DEG=2 FAIL=18 (167 проб).

L8 ? RegexOptions.Compiled	OK
lock statement ? Monitor.Enter/Exit	OK
lock re-entrancy same object	OK
ValueTuple ctor + deconstruction	OK
ValueTuple .Equals + .GetHashCode	OK
ValueTuple named fields	OK
DateTime + TimeSpan arithmetic	OK
DateTime.Parse round-trip	OK
TimeSpan.From*/TotalMilliseconds	OK
TimeSpan.Parse	OK
Enum.ToString returns member name	OK
Enum.Parse<T>	OK
Enum.TryParse<T>	OK
Enum.GetNames / GetValues	OK
Enum.HasFlag on flags-enum	OK
Process.Start(dummy)	FAIL
